Namespace                                                RegistrationPolicy    RegistrationState    ProviderAuthorizationConsentState
-------------------------------------------------------  --------------------  -------------------  -----------------------------------
Microsoft.CloudShell                                     RegistrationRequired  Registered
Microsoft.Advisor                                        RegistrationRequired  Registered
Microsoft.RecoveryServices                               RegistrationRequired  Registered
Microsoft.DevTestLab                                     RegistrationRequired  Registered
Microsoft.Management                                     RegistrationRequired  Registered
Microsoft.ManagedServices                                RegistrationRequired  Registered
Microsoft.DataMigration                                  RegistrationRequired  Registered
Microsoft.Logic                                          RegistrationRequired  Registered
Microsoft.Maintenance                                    RegistrationRequired  Registered
Microsoft.Databricks                                     RegistrationRequired  Registered
Microsoft.SignalRService                                 RegistrationRequired  Registered
Microsoft.DataProtection                                 RegistrationRequired  Registered
Microsoft.Security                                       RegistrationRequired  Registered
Microsoft.AVS                                            RegistrationRequired  Registered
Microsoft.Media                                          RegistrationRequired  Registered
Microsoft.ManagedIdentity                                RegistrationRequired  Registered
Microsoft.Cdn                                            RegistrationRequired  Registered
Microsoft.HDInsight                                      RegistrationRequired  Registered
Microsoft.Network                                        RegistrationRequired  Registered
Microsoft.StreamAnalytics                                RegistrationRequired  Registered
Microsoft.KeyVault                                       RegistrationRequired  Registered
Microsoft.SecurityInsights                               RegistrationRequired  Registered
Microsoft.CognitiveServices                              RegistrationRequired  Registered
Microsoft.NotificationHubs                               RegistrationRequired  Registered
Microsoft.DBforPostgreSQL                                RegistrationRequired  Registered
Microsoft.PowerBIDedicated                               RegistrationRequired  Registered
Microsoft.DataFactory                                    RegistrationRequired  Registered
Microsoft.DataLakeStore                                  RegistrationRequired  Registered
Microsoft.Blueprint                                      RegistrationRequired  Registered
Microsoft.Compute                                        RegistrationRequired  Registered
Microsoft.ServiceFabric                                  RegistrationRequired  Registered
Microsoft.Maps                                           RegistrationRequired  Registered
Microsoft.HealthcareApis                                 RegistrationRequired  Registered
Microsoft.CustomProviders                                RegistrationRequired  Registered
Microsoft.Automation                                     RegistrationRequired  Registered
Microsoft.AppPlatform                                    RegistrationRequired  Registered
Microsoft.PolicyInsights                                 RegistrationRequired  Registered
Microsoft.BotService                                     RegistrationRequired  Registered
Microsoft.DataLakeAnalytics                              RegistrationRequired  Registered
Microsoft.DocumentDB                                     RegistrationRequired  Registered
microsoft.insights                                       RegistrationRequired  Registered
Microsoft.ServiceBus                                     RegistrationRequired  Registered
Microsoft.DesktopVirtualization                          RegistrationRequired  Registered
Microsoft.MachineLearningServices                        RegistrationRequired  Registered
Microsoft.ContainerService                               RegistrationRequired  Registered
Microsoft.EventHub                                       RegistrationRequired  Registered
Microsoft.DBforMariaDB                                   RegistrationRequired  Registered
Microsoft.Storage                                        RegistrationRequired  Registered
Microsoft.OperationsManagement                           RegistrationRequired  Registered
Microsoft.GuestConfiguration                             RegistrationRequired  Registered
Microsoft.AppConfiguration                               RegistrationRequired  Registered
Microsoft.Devices                                        RegistrationRequired  Registered
Microsoft.ContainerRegistry                              RegistrationRequired  Registered
Microsoft.ContainerInstance                              RegistrationRequired  Registered
Microsoft.Kusto                                          RegistrationRequired  Registered
Microsoft.Cache                                          RegistrationRequired  Registered
Microsoft.Relay                                          RegistrationRequired  Registered
Microsoft.MixedReality                                   RegistrationRequired  Registered
